car	name	rendition	idiom	scale	width	height	subtype
CamControlApp/Resources/Assets.car	AppIconLarge	app_icon_large@3x.png	universal	3	384	384	
CamControlApp/Resources/Assets.car	AppIconSmall	app_icon_small@3x.png	universal	3	192	192	
CamControlApp/Resources/Assets.car	Apple Watch/Battery	battery@3x.png	universal	3	81	48	
CamControlApp/Resources/Assets.car	Apple Watch/IconAe	icon_AE@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconAe_active	icon_AE_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconAf	icon_AF@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconAf_active	icon_AF_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconAuto	icon_Auto@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconAuto_active	icon_Auto_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconAwb	icon_AWB@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconAwb_active	icon_AWB_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconLight	icon_light@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconLight_active	icon_light_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconLock	icon_lock@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconLock_active	icon_lock_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconLut	icon_LUT@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconLut_active	icon_LUT_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconStream	icon_stream@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconStream_active	icon_stream_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconTimelapse	icon_timelapse@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/IconTimelapse_active	icon_timelapse_active@3x.png	universal	3	96	96	
CamControlApp/Resources/Assets.car	Apple Watch/Lut	LUT@3x.png	universal	3	69	48	
CamControlApp/Resources/Assets.car	Apple Watch/Record	record@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/Record_active	record_active@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/Record_active_disabled	record_active_disabled@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/Record_disabled	record_disabled@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/RecordOffSpeed	record_off_speed@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/RecordOffSpeed_active	record_off_speed_active@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/RecordOffSpeed_active_disabled	record_off_speed_active_disabled@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/RecordOffSpeed_disabled	record_off_speed_disabled@3x.png	universal	3	132	132	
CamControlApp/Resources/Assets.car	Apple Watch/RecordTimelapse	record_timelapse@3x.png	universal	3	132	132	
